Realisation number,Time,x
1.0,1.0,1.0246203862310106
1.0,1.01,1.0229249473399773
1.0,1.02,1.0449360500239828
1.0,1.03,1.0548198510207072
1.0,1.04,1.0624279540317263
1.0,1.05,1.0548221592505098
1.0,1.06,1.0432747493550536
1.0,1.07,1.0305943416564296
1.0,1.08,1.01617399944737
1.0,1.09,1.019307227519281
1.0,1.1,1.027894685382355
1.0,1.11,1.0170336504375244
1.0,1.12,1.033803217377545
1.0,1.13,1.036878319853824
1.0,1.14,1.0408701926547737
1.0,1.15,1.0511366131521145
1.0,1.16,1.0567674618142204
1.0,1.17,1.0777650746181902
1.0,1.18,1.0675773011143608
1.0,1.19,1.0750590710697479
1.0,1.2,1.074571059140715
1.0,1.21,1.0721815754508777
1.0,1.22,1.0842871910108436
1.0,1.23,1.0695830402797373
1.0,1.24,1.0679937657320069
1.0,1.25,1.0642337671794515
1.0,1.26,1.0651594818712482
1.0,1.27,1.0568918141967731
1.0,1.28,1.0706723723869431
1.0,1.29,1.0684400407709327
1.0,1.3,1.0655840919842114
1.0,1.31,1.0790431520090582
1.0,1.32,1.0664188661121048
1.0,1.33,1.0370408473770132
1.0,1.34,1.0455074258257901
1.0,1.35,1.0302721556516428
1.0,1.36,1.0278597029457017
1.0,1.37,1.0267300069736183
1.0,1.38,1.019381118050001
1.0,1.39,1.0229519276258716
1.0,1.4,1.0240469017221543
1.0,1.41,1.0298622700200475
1.0,1.42,1.0151383151522164
1.0,1.43,1.0334560671681183
1.0,1.44,1.0466593800394735
1.0,1.45,1.032894627573173
1.0,1.46,1.050658902395247
1.0,1.47,1.0602790567185902
1.0,1.48,1.0520827478610597
1.0,1.49,1.0547008423728073
1.0,1.5,1.0434883031129278
1.0,1.51,1.0507438249721697
1.0,1.52,1.054393884800232
1.0,1.53,1.0527365874231205
1.0,1.54,1.0419596160032152
1.0,1.55,1.0274760187363483
1.0,1.56,1.020774860470892
1.0,1.57,1.0346826446215962
1.0,1.58,1.0363626277693814
1.0,1.59,1.021202585425426
1.0,1.6,1.0306863682829364
1.0,1.61,1.0249637912090297
1.0,1.62,1.0172045663116245
1.0,1.63,1.0157230284477679
1.0,1.64,1.0013939275429156
1.0,1.65,1.0032658783498387
1.0,1.66,1.0147565173416333
1.0,1.67,1.0347017594109014
1.0,1.68,1.0404611808398718
1.0,1.69,1.0552474349557854
1.0,1.7,1.0679420140822622
1.0,1.71,1.0715856162998794
1.0,1.72,1.0731762680549346
1.0,1.73,1.0592875993413047
1.0,1.74,1.0497715406893167
1.0,1.75,1.0482147674514257
1.0,1.76,1.0571588821033728
1.0,1.77,1.0468891578950925
1.0,1.78,1.037581061472402
1.0,1.79,1.0305023856914561
1.0,1.8,1.0329344112172398
1.0,1.81,1.0287146694883094
1.0,1.82,1.0323566649134606
1.0,1.83,1.0445310740309675
1.0,1.84,1.0425021260063256
1.0,1.85,1.0379819134961203
1.0,1.86,1.0222698343235053
1.0,1.87,1.0273079513695245
1.0,1.88,1.0258121478714204
1.0,1.89,1.0318013696626704
1.0,1.9,1.0141420937976884
1.0,1.91,1.0257735409380377
1.0,1.92,1.0312177489793273
1.0,1.93,1.0124168520115278
1.0,1.94,1.016871862588374
1.0,1.95,1.0262976949654918
1.0,1.96,1.0322794291725879
1.0,1.97,1.0308943837210074
1.0,1.98,1.0083200081838248
1.0,1.99,1.0009067078821303
1.0,2.0,0.9878516560609364
1.0,2.01,0.9827827011398984
1.0,2.02,0.987463639587288
1.0,2.03,0.9934948536008471
1.0,2.04,1.0168505793011546
1.0,2.05,1.0181352364656395
1.0,2.06,1.0287435013912196
1.0,2.07,1.0197191617077581
1.0,2.08,1.0011054778016995
1.0,2.09,0.9962573318835416
1.0,2.1,1.0036585085922811
1.0,2.11,0.9964904462533914
1.0,2.12,1.0015229065291407
1.0,2.13,1.0001862565972448
1.0,2.14,1.0028430906714376
1.0,2.15,1.0053955383381683
1.0,2.16,0.9946551380921813
1.0,2.17,1.0016356159986983
1.0,2.18,1.004725778491519
1.0,2.19,0.9990936650362781
1.0,2.2,1.0010017747264224
1.0,2.21,1.006088773565264
1.0,2.22,1.0061237944918082
1.0,2.23,1.000878327870177
1.0,2.24,1.0078015278481804
1.0,2.25,1.0158492206782574
1.0,2.26,1.0132330873370423
1.0,2.27,1.0108599726705654
1.0,2.28,1.0023689256551453
1.0,2.29,1.0092631787817865
1.0,2.3,1.013196564728727
1.0,2.31,1.0084530068705595
