Realisation number,Time,x
1.0,0.97,0.9898441896307465
1.0,0.98,1.0061170292669095
1.0,0.99,1.0000590346105152
1.0,1.0,1.0011351080508064
1.0,1.01,0.9990816684131946
1.0,1.02,1.0207327911642539
1.0,1.03,1.030266121176941
1.0,1.04,1.0375274228531324
1.0,1.05,1.0295774228532257
1.0,1.06,1.017680771325093
1.0,1.07,1.004644063766398
1.0,1.08,0.9898597536654324
1.0,1.09,0.9926203989251717
1.0,1.1,1.0008359834503213
1.0,1.11,0.9896067661245461
1.0,1.12,1.0060012238939704
1.0,1.1300000000000001,1.0087096270012683
1.0,1.1400000000000001,1.0123355719705787
1.0,1.1500000000000001,1.0222373861767073
1.0,1.16,1.0275086055783176
1.0,1.17,1.0481488978511975
1.0,1.18,1.0376152453675647
1.0,1.19,1.0447439433169055
1.0,1.2,1.043906383858795
1.0,1.21,1.0411660183261804
1.0,1.22,1.0529182567941473
1.0,1.23,1.0378673434612515
1.0,1.24,1.0359209427644447
1.0,1.25,1.0318018727777534
1.0,1.26,1.032365177710346
1.0,1.27,1.0237348472774104
1.0,1.28,1.0371464092356706
1.0,1.29,1.0345535376913157
1.0,1.3,1.0313346758613609
1.0,1.31,1.0444280367432048
1.0,1.32,1.0314465737177183
1.0,1.33,1.0017016699395314
1.0,1.34,1.0097798289946462
1.0,1.35,0.9941616317846764
1.0,1.36,0.9913546433941753
1.0,1.37,0.9898281559405564
1.0,1.3800000000000001,0.9820811698744764
1.0,1.3900000000000001,0.9852479418641626
1.0,1.4000000000000001,0.9859411678203749
1.0,1.41,0.9913551997399794
1.0,1.42,0.9762339618696191
1.0,1.43,0.994142512206626
1.0,1.44,1.006950676424566
1.0,1.45,0.99280077860308
1.0,1.46,1.0101682878453913
1.0,1.47,1.0194056013757675
1.0,1.48,1.0108337115605321
1.0,1.49,1.013068781743177
1.0,1.5,1.0014748025479947
1.0,1.51,1.0083388524036936
1.0,1.52,1.0116030955361706
1.0,1.53,1.009562546882431
1.0,1.54,0.9984003080855589
1.0,1.55,0.9835214946887755
1.0,1.56,0.9764119404664783
1.0,1.57,0.9899050771069491
1.0,1.58,0.9911826259450558
1.0,1.59,0.9756212955894524
1.0,1.6,0.9846895859828201
1.0,1.61,0.9785600089036673
1.0,1.62,0.9703881491828474
1.0,1.6300000000000001,0.9684864478188461
1.0,1.6400000000000001,0.9537355988758487
1.0,1.6500000000000001,0.9551719734404944
1.0,1.6600000000000001,0.9662288058219961
1.0,1.67,0.9857513413350973
1.0,1.68,0.9911074120542737
1.0,1.69,1.0054956133360138
1.0,1.7,1.0178064036170904
1.0,1.71,1.0210783249352642
1.0,1.72,1.02230020341238
1.0,1.73,1.0080435719603256
1.0,1.74,0.9981445008066004
1.0,1.75,0.996194272196406
1.0,1.76,1.0047428272014085
1.0,1.77,0.9940864616200974
1.0,1.78,0.9843803088992252
1.0,1.79,0.9768932477778586
1.0,1.8,0.9789089992404661
1.0,1.81,0.9742754050949721
1.0,1.82,0.9774987169246103
1.0,1.83,0.9892582572535531
1.0,1.84,0.98682767012045
1.0,1.85,0.981903166622591
1.0,1.86,0.9657813668308179
1.0,1.87,0.9703917191223687
1.0,1.8800000000000001,0.9684738090467552
1.0,1.8900000000000001,0.9740390617649517
1.0,1.9000000000000001,0.9559626085631475
1.0,1.9100000000000001,0.967156117864555
1.0,1.92,0.972176057751548
1.0,1.93,0.9529571886546447
1.0,1.94,0.9569716567546277
1.0,1.95,0.9659623406469245
1.0,1.96,0.9715202896391144
1.0,1.97,0.9697185757377215
1.0,1.98,0.9467255938755725
1.0,1.99,0.9388656574437959
1.0,2.0,0.9253548882054361
1.0,2.0100000000000002,0.9198141154176414
1.0,2.02,0.9240172445024941
1.0,2.0300000000000002,0.9295770390092266
1.0,2.04,0.9524694274652031
1.0,2.05,0.9533210952116704
1.0,2.06,0.9634979447565177
1.0,2.07,0.9540559186711998
1.0,2.08,0.9350124065196658
1.0,2.09,0.9297096898508005
1.0,2.1,0.9366500041241399
1.0,2.11,0.9290312278764001
1.0,2.12,0.9336034068473109
1.0,2.13,0.9318135242991893
1.0,2.14,0.9340154211344944
1.0,2.15,0.9361167275494532
1.0,2.16,0.9249288105343179
1.0,2.17,0.9314468329037333
1.0,2.18,0.9340845539641952
1.0,2.19,0.9280044538390012
1.0,2.2,0.9294565988001928
1.0,2.21,0.9340904863473011
1.0,2.22,0.9336798044280885
1.0,2.23,0.9279886727004658
1.0,2.24,0.9344585434008222
1.0,2.25,0.9420631363992407
1.0,2.2600000000000002,0.9390157210356894
1.0,2.27,0.9362072275836012
1.0,2.2800000000000002,0.927277095696427
1.0,2.29,0.9337193937961984
1.0,2.3000000000000003,0.9372112832334496
1.0,2.31,0.9320321116316403
1.0,2.32,0.9297124267253619
1.0,2.33,0.937400923904996
1.0,2.34,0.9266606191231775
1.0,2.35,0.9319906352894852
1.0,2.36,0.9459622738946222
1.0,2.37,0.952297214217095
1.0,2.38,0.9615772985414566
1.0,2.39,0.9576132829649143
1.0,2.4,0.9473213968781394
1.0,2.41,0.9461872004299393
1.0,2.42,0.9368250644234543
1.0,2.43,0.9472538412345453
1.0,2.44,0.93082628458217
1.0,2.45,0.9358355941525853
1.0,2.46,0.9480616992885976
1.0,2.47,0.9505230008501049
1.0,2.48,0.9568747478443583
1.0,2.49,0.9496340780744139
1.0,2.5,0.9490541294648043
1.0,2.5100000000000002,0.9397185026520527
1.0,2.52,0.962265912285452
1.0,2.5300000000000002,0.9689667737966264
1.0,2.54,0.9650096255007475
1.0,2.5500000000000003,0.9815739255601205
1.0,2.56,0.9771592453268458
1.0,2.57,0.9818661666287022
1.0,2.58,0.9884777083293554
1.0,2.59,1.0050607023850746
1.0,2.6,1.0084184829772322
1.0,2.61,1.0064701050660947
1.0,2.62,0.992884501629138
1.0,2.63,1.0056230511639637
1.0,2.64,1.0208999670673107
1.0,2.65,1.0070020857706719
1.0,2.66,0.9882553145826494
1.0,2.67,1.0074304341563118
1.0,2.68,0.9861958130809405
1.0,2.69,0.9771940406354017
1.0,2.7,0.9731837899061093
1.0,2.71,0.9828449908282503
1.0,2.72,0.9925825701455475
1.0,2.73,0.9728126238101594
1.0,2.74,0.9989837887453821
1.0,2.75,1.0000125152717567
1.0,2.7600000000000002,0.9797276218371037
1.0,2.77,0.9620843239950603
1.0,2.7800000000000002,0.952398997421198
1.0,2.79,0.9510699786575271
1.0,2.8000000000000003,0.960173058929928
1.0,2.81,0.9636718100132956
1.0,2.82,0.9751490369843648
1.0,2.83,0.969018977410412
