Realisation number,Time,x
1.0,0.0,1.0395252908269206
1.0,0.01,1.0387191625242327
1.0,0.02,1.0379295475334822
1.0,0.03,1.0371560900674515
1.0,0.04,1.0363984425014112
1.0,0.05,1.0356562651660173
1.0,0.06,1.0349292261462406
1.0,0.07,1.0342170010861236
1.0,0.08,1.0335192729991671
1.0,0.09,1.032835732084159
1.0,0.1,1.03216607554626
1.0,0.11,1.0315100074231733
1.0,0.12,1.0308672384162307
1.0,0.13,1.0302374857262304
1.0,0.14,1.029620472893874
1.0,0.15,1.0290159296446506
1.0,0.16,1.0284235917380247
1.0,0.17,1.0278432008207898
1.0,0.18,1.0272745042844529
1.0,0.19,1.0267172551265225
1.0,0.2,1.0261712118155752
1.0,0.21,1.0256361381599828
1.0,0.22,1.0251118031801836
1.0,0.23,1.0245979809843881
1.0,0.24,1.024094450647613
1.0,0.25,1.0236009960939383
1.0,0.26,1.0231174059818908
1.0,0.27,1.0226434735928571
1.0,0.28,1.022178996722434
1.0,0.29,1.0217237775746264
1.0,0.3,1.02127762265881
1.0,0.31,1.0208403426893708
1.0,0.32,1.0204117524879464
1.0,0.33,1.019991670888188
1.0,0.34,1.019579920642972
1.0,0.35000000000000003,1.0191763283339856
1.0,0.36,1.0187807242836189
1.0,0.37,1.018392942469097
1.0,0.38,1.0180128204387848
1.0,0.39,1.017640199230604
1.0,0.4,1.0172749232924991
1.0,0.41000000000000003,1.0169168404048976
1.0,0.42,1.016565801605103
1.0,0.43,1.0162216611135686
1.0,0.44,1.0158842762620002
1.0,0.45,1.0155535074232322
1.0,0.46,1.0152292179428317
1.0,0.47000000000000003,1.0149112740723791
1.0,0.48,1.0145995449043823
1.0,0.49,1.0142939023087758
1.0,0.5,1.0139942208709634
1.0,0.51,1.0137003778313614
1.0,0.52,1.013412253026402
1.0,0.53,1.0131297288309566
1.0,0.54,1.0128526901021406
1.0,0.55,1.012581024124464
1.0,0.56,1.0123146205562892
1.0,0.5700000000000001,1.0120533713775635
1.0,0.58,1.0117971708387912
1.0,0.59,1.0115459154112119
1.0,0.6,1.0112995037381551
1.0,0.61,1.011057836587539
1.0,0.62,1.0108208168054822
1.0,0.63,1.0105883492710033
1.0,0.64,1.0103603408517743
1.0,0.65,1.010136700360907
1.0,0.66,1.0099173385147404
1.0,0.67,1.0097021678916072
1.0,0.68,1.0094911028915505
1.0,0.6900000000000001,1.009284059696972
1.0,0.7000000000000001,1.0090809562341814
1.0,0.71,1.0088817121358298
1.0,0.72,1.0086862487042016
1.0,0.73,1.008494488875345
1.0,0.74,1.0083063571840187
1.0,0.75,1.0081217797294346
1.0,0.76,1.007940684141779
1.0,0.77,1.00776299954949
1.0,0.78,1.0075886565472727
1.0,0.79,1.0074175871648379
1.0,0.8,1.0072497248363401
1.0,0.81,1.0070850043705035
1.0,0.8200000000000001,1.0069233619214164
1.0,0.8300000000000001,1.0067647349599773
1.0,0.84,1.006609062245979
1.0,0.85,1.0064562838008135
1.0,0.86,1.006306340880784
1.0,0.87,1.006159175951007
1.0,0.88,1.0060147326598945
1.0,0.89,1.0058729558141986
1.0,0.9,1.005733791354606
1.0,0.91,1.0055971863318722
1.0,0.92,1.0054630888834777
1.0,0.93,1.0053314482107978
1.0,0.9400000000000001,1.0052022145567727
1.0,0.9500000000000001,1.0050753391840652
1.0,0.96,1.0049507743536965
1.0,0.97,1.0048284733041464
1.0,0.98,1.0047083902309097
1.0,0.99,1.0045904802664964
1.0,1.0,1.0044746994608662
1.0,1.01,1.0043610047622866
1.0,1.02,1.004249353998606
1.0,1.03,1.0041397058589299
1.0,1.04,1.0040320198756953
1.0,1.05,1.0039262564071287
1.0,1.06,1.0038223766200824
1.0,1.07,1.0037203424732404
1.0,1.08,1.0036201167006842
1.0,1.09,1.0035216627958108
1.0,1.1,1.0034249449955956
1.0,1.11,1.0033299282651909
1.0,1.12,1.0032365782828538
1.0,1.1300000000000001,1.003144861425196
1.0,1.1400000000000001,1.0030547447527476
1.0,1.1500000000000001,1.0029661959958267
1.0,1.16,1.0028791835407123
1.0,1.17,1.0027936764161083
1.0,1.18,1.0027096442798957
1.0,1.19,1.0026270574061653
1.0,1.2,1.0025458866725245
1.0,1.21,1.002466103547673
1.0,1.22,1.0023876800792408
1.0,1.23,1.0023105888818826
1.0,1.24,1.0022348031256234
1.0,1.25,1.002160296524449
1.0,1.26,1.0020870433251372
1.0,1.27,1.002015018296324
1.0,1.28,1.0019441967177978
1.0,1.29,1.0018745543700207
1.0,1.3,1.0018060675238671
1.0,1.31,1.0017387129305784
1.0,1.32,1.0016724678119278
1.0,1.33,1.0016073098505907
1.0,1.34,1.0015432171807166
1.0,1.35,1.0014801683786967
1.0,1.36,1.0014181424541255
1.0,1.37,1.0013571188409498
1.0,1.3800000000000001,1.0012970773888021
1.0,1.3900000000000001,1.0012379983545152
1.0,1.4000000000000001,1.0011798623938124
1.0,1.41,1.00112265055317
1.0,1.42,1.0010663442618506
1.0,1.43,1.001010925324099
1.0,1.44,1.0009563759115032
1.0,1.45,1.0009026785555104
1.0,1.46,1.0008498161401005
1.0,1.47,1.0007977718946097
1.0,1.48,1.0007465293867035
1.0,1.49,1.0006960725154939
1.0,1.5,1.0006463855048002
1.0,1.51,1.0005974528965476
1.0,1.52,1.0005492595443024
1.0,1.53,1.0005017906069413
1.0,1.54,1.0004550315424496
1.0,1.55,1.0004089681018489
1.0,1.56,1.0003635863232478
1.0,1.57,1.0003188725260177
1.0,1.58,1.0002748133050854
1.0,1.59,1.000231395525345
1.0,1.6,1.000188606316184
1.0,1.61,1.0001464330661216
1.0,1.62,1.0001048634175573
1.0,1.6300000000000001,1.0000638852616273
1.0,1.6400000000000001,1.0000234867331659
1.0,1.6500000000000001,0.9999836562057706
1.0,1.6600000000000001,0.9999443822869681
1.0,1.67,0.9999056538134795
1.0,1.68,0.9998674598465819
1.0,1.69,0.9998297896675652
1.0,1.7,0.9997926327732821
1.0,1.71,0.9997559788717885
1.0,1.72,0.9997198178780732
1.0,1.73,0.999684139909875
1.0,1.74,0.999648935283585
1.0,1.75,0.9996141945102323
